,FIPS,Density,Non-White,Poverty,Income,Unemployment,Uninsured,Employed,Labor,Transit,Mean Commute,Senior Citizen,Gini,Comorbidities,confirmed rate,death rate
106,36065,2.27559,0.17988858883540104,0.155,29687.0,0.046,0.04,0.5479999999999999,0.414,0.1353855677926331,19.8,0.184,0.4537,0.48700000000000004,2.9108354530049483,1.6672678731252208
107,36067,2.7720604,0.23153917281667502,0.141,34002.0,0.053,0.037000000000000005,0.591,0.3390000000000001,0.15698617246278168,20.0,0.166,0.4654,0.401,2.8429248793480673,1.6281245332364427
108,36069,2.231592,0.10160623133749125,0.087,36835.0,0.035,0.033,0.61,0.35300000000000004,0.12242706945061455,23.3,0.19399999999999998,0.4511,0.38799999999999996,2.455168616267188,1.4922146188355039
109,36071,2.6756685,0.357567386242551,0.11599999999999999,34959.0,0.043,0.048,0.602,0.401,0.19681275351168492,33.6,0.13699999999999998,0.4409,0.363,3.4513096691901524,2.1028927332157457
110,36073,2.013396,0.1363191863876394,0.13699999999999998,26298.0,0.054000000000000006,0.051,0.526,0.49699999999999994,0.17746543252199753,25.7,0.174,0.4208,0.491,2.8541354918036657,2.129761935303721
111,36075,2.0901706,0.05961686341780814,0.17,28587.0,0.069,0.046,0.561,0.48,0.1470848805866053,25.2,0.158,0.4324,0.49200000000000005,2.2877074526834464,0.5516192825772727
112,36077,1.7737122,0.08870806376308948,0.149,28849.0,0.057999999999999996,0.048,0.544,0.418,0.20192977950618185,22.9,0.20600000000000002,0.4465,0.387,2.187405565833127,0.9733287880436301
113,36079,2.630298,0.212851893467764,0.05,47448.0,0.046,0.037000000000000005,0.627,0.349,0.1731367862952624,39.6,0.16699999999999998,0.4229,0.364,3.148175034604296,1.8134240868385687
114,36081,4.3163843,0.7495383380519615,0.122,31930.0,0.055999999999999994,0.095,0.606,0.43999999999999995,0.6489021526720744,44.4,0.153,0.4518,0.363,3.478953064383288,2.501472935164759
115,36083,2.3860643,0.16789898545717252,0.11699999999999999,35903.0,0.047,0.037000000000000005,0.618,0.35600000000000004,0.15961181603891872,24.8,0.165,0.4294,0.40700000000000003,2.6011911166220534,1.2988950681655345
116,36085,3.9179163,0.38986045277567793,0.11699999999999999,36907.0,0.046,0.043,0.56,0.36900000000000005,0.4104398804760123,45.2,0.159,0.4551,0.395,3.4845210795530672,2.3547852334327217
